iter,play_row,play_col,p0,p1,p2,q0,q1,q2,v_lb,v_ub,gap
31,0,1.0,0.71875,0.28125,0.0,0.5483870967741935,0.16129032258064516,0.2903225806451613,12.65625,13.258064516129032,0.601814516129032
32,1,1.0,0.696969696969697,0.30303030303030304,0.0,0.53125,0.1875,0.28125,12.909090909090908,13.5,0.5909090909090917
33,1,0.0,0.6764705882352942,0.3235294117647059,0.0,0.5454545454545454,0.18181818181818182,0.2727272727272727,12.970588235294118,13.545454545454545,0.5748663101604272
34,1,0.0,0.6571428571428571,0.34285714285714286,0.0,0.5588235294117647,0.17647058823529413,0.2647058823529412,13.028571428571428,13.588235294117649,0.55966386554622
35,1,0.0,0.6388888888888888,0.3611111111111111,0.0,0.5714285714285714,0.17142857142857143,0.2571428571428571,13.083333333333332,13.628571428571426,0.5452380952380942
36,1,0.0,0.6216216216216216,0.3783783783783784,0.0,0.5833333333333334,0.16666666666666666,0.25,13.08108108108108,13.666666666666668,0.5855855855855872
37,1,2.0,0.6052631578947368,0.39473684210526316,0.0,0.5675675675675675,0.16216216216216217,0.2702702702702703,12.868421052631579,13.432432432432432,0.5640113798008528
38,0,2.0,0.6153846153846154,0.38461538461538464,0.0,0.5526315789473685,0.15789473684210525,0.2894736842105263,13.0,13.263157894736844,0.26315789473684426
39,0,2.0,0.625,0.375,0.0,0.5384615384615384,0.15384615384615385,0.3076923076923077,13.125,13.384615384615385,0.259615384615385
40,0,0.0,0.6341463414634146,0.36585365853658536,0.0,0.55,0.15,0.3,13.097560975609756,13.35,0.25243902439024346
41,0,0.0,0.6428571428571429,0.35714285714285715,0.0,0.5609756097560976,0.14634146341463414,0.2926829268292683,13.071428571428573,13.317073170731707,0.24564459930313376
42,0,0.0,0.6511627906976745,0.3488372093023256,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,13.046511627906977,13.285714285714285,0.23920265780730787
43,0,0.0,0.6590909090909091,0.3409090909090909,0.0,0.5813953488372093,0.13953488372093023,0.27906976744186046,13.022727272727272,13.255813953488373,0.23308668076110095
